DisNo,ImpactID,Location,Classification_Key,Event_Name,ISO,Total_Deaths,Total_Affected,Start_Date,Total_Damage_USD,Total_Damage_Adj_USD,duration
2021-0531-USA,d29aa1fbcdeef76780885a4df1b09f8a,"Rhode Isl., Connecticut, Vermont, New York, New Jersey states",nat-met-sto-tro,Henri,USA,,86.0,2021-08-20,550000.0,618467.0,5
2021-0532-USA,5644901bcac7f3aa8f101583ee5cbb1c,"Transylvania, Haywood, Swain counties (North Carolina); Florida",nat-met-sto-tro,Tropical storm Fred,USA,7.0,105.0,2021-08-17,1300000.0,1461832.0,5
2021-0551-USA,ce05a7b199770f07d5370318ea7ef928,"Louisiana, New York, New Jersey, Maryland, Connecticut, Virginia, Pennsylvania, Delaware",nat-met-sto-tro,Tropical storm Ida,USA,96.0,14000.0,2021-08-28,65000000.0,73091612.0,5
2021-0583-USA,238e7c2f35daa052cc23fc59c5650279,"Texas, Louisiana",nat-met-sto-tro,Tropical storm Nicholas,USA,,,2021-09-12,1000000.0,1124486.0,5
2022-0603-CAN,fa6f4c052ed71f888fb0765e824842e2,"Nova Scotia, Prince Edward Island, Newfoundland, and Quebec",nat-met-sto-tro, Fiona,CAN,1.0,4000.0,2022-09-24,,,1
2022-0614-USA,b922576e6fe72b3de0a7935f65628cce,Charlotte and Lee Counties (Florida Peninsula); North Carolina,nat-met-sto-tro, Ian,USA,152.0,,2022-09-28,100000000.0,104116407.0,4
2022-0734-USA,00fc984be9fe09eeface3c7cbcbdc6b1,"Bahamas, Florida",nat-met-sto-tro, Nicole,USA,5.0,1500.0,2022-11-10,1000000.0,1041164.0,1
2023-0565-USA,a5c0cbb3b6927c1eb1a791df136d582c,"Tampa, St. Petersburg, Sarasota, Tarpon Springs, Fort Myers Naples (Florida); Brooks and Lowndes Counties (Georgia); Mt. Pleasant, Edisto Beach, and Folly Beach (South Carolina); Whiteville, Wilmington, Outer Banks (North Carolina)",nat-met-sto-tro, Idalia,USA,5.0,,2023-08-28,3500000.0,3500000.0,1
2024-0422-CAN,d25f2ea5a3fe84d23d76a67a3f5dd640,Nouvelle Ecosse,nat-met-sto-tro, Beryl,CAN,1.0,,2024-07-12,,,0
2024-0422-USA,fc759201f69f5fdda292f31c9f82479c,"Texas, Louisiana",nat-met-sto-tro, Beryl,USA,45.0,207.0,2024-07-08,6000000.0,,1
2024-0573-CAN,c8fd0cd342ae327d7f1c4c409997b002,Quebec,nat-met-sto-tro,Debby,CAN,1.0,,2024-08-08,2950000.0,,2
2024-0573-USA,297e6ef57e21258c14063684d1ff8b4d,"Tampa, Manatee, and St. Petersburg (Florida); Georgia; South Carolina, North Carolina, Virginia, New Yprk, Pennsylvania",nat-met-sto-tro,Debby,USA,6.0,,2024-08-05,2250000.0,,1
2024-0693-USA,80234918f59f6380f3f88aa0eaa736e5,"Florida, Georgia, North Carolina, South Carolina, Tennessee, Kentucky, Indiana and Virginia",nat-met-sto-tro,Helene,USA,227.0,,2024-09-25,56000000.0,,3
2024-0722-USA,e93fa5d59a214bbde2de70b1e82901df,"Hillsborough, Pinellas, Sarasota Volusia, Saint Petersburg, Tampa, (Florida state)",nat-met-sto-tro, Milton,USA,27.0,1013.0,2024-10-09,38000000.0,,1
