DisNo,ImpactID,Historic,Classification_Key,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration,Location
2003-0782-USA,a87a33eba417f9280dc89439e260a53b,No,nat-met-sto-tro,No,No,Yes,,Flood,95.0,Kph,2003-06-30,2003-06-30,0,"Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)"
2003-0786-USA,972a9b86df0bcbda6390f1698aca0950,No,nat-cli-wil-for,No,No,No,,,607.0,Km2,2003-10-21,2003-11-04,14,San Bernardino district (California province)
2003-0827-USA,6002cd78e4ac894084a8137f1e36c1f3,No,nat-met-sto-sto,No,No,Yes,,,,Kph,2003-12-15,2003-12-16,1,"Beaumont, Port Arthur areas (Jefferson district, Texas province), Sugar Land area (Fort Bend district, Texas province), Smith district (Mississipi province), Dallas, Harris districts (Texas province), Los Angeles district (California province), Alabama, Arkansas, Florida, Georgia, Louisiana, Maryland, Missouri, North Carolina, Oklahoma, South Carolina, Tennesse, Virginia, West Virginia provinces"
2003-0829-USA,2422180166a24b685c0ca686d95f6f12,No,nat-met-sto-sto,No,No,No,,Hail|Snow/ice,,Kph,2003-04-04,2003-04-08,4,"Alabama, Illinois, Indiana, Louisiana, Michigan, Missouri, Mississippi, New York, Tennessee,Texas, Pennsylvania, Nebraska, Wisconsin provinces"
2003-0830-USA,246a7072626a000cb96bed1dabef3aea,No,nat-met-sto-bli,No,No,No,,Transport accident,,Kph,2003-02-26,2003-02-26,0,"Arkansas, Texas provinces"
2004-0031-USA,cbca3133bb9d905b12f16d9e3bbd03bd,No,nat-met-sto-bli,No,No,Yes,,Cold wave|Transport accident,,Kph,2004-01-15,2004-01-29,14,"North Carolina, South Carolina, Iowa, Missouri, Ohio, Maryland, Nebraska, New York, Virginia, Minnesota, Indiana, Illinois, Pennsylvania, Oklahoma, Georgia, Kansas, New Jersey, West Virginia, Maine provinces"
2004-0074-CAN,d7de18a76b911bb69f08d52607dfb075,No,nat-met-sto-bli,No,No,Yes,,,120.0,Kph,2004-02-19,2004-02-19,0,"Nova Scotia, New Brunswick, Prince Edward Island provinces"
2004-0121-USA,c7a249e72c01bcb58190a1d74dfa9323,No,nat-met-sto-tor,No,No,No,,Flood|Transport accident,,Kph,2004-03-04,2004-03-07,3,"Arkansas, Louisiana, North Carolina, Oklahoma, South Carolina, Texas, Virginia, Kansas, Missouri, Mississippi provinces"
2004-0146-CAN,bad8357958ef95a3e92c4736fa46a5e1,No,nat-hyd-flo-riv,No,No,No,Rain and snowmelt,,,Km2,2004-03-28,2004-04-11,14,"Winnipeg (Division No. 11 district, Manitoba province) Selkirk, St Clements, Breezy Point (Division No.13 district, Manitoba province)"
2004-0146-USA,53d136a92dc7930fcf07c0122bbe5bd8,No,nat-hyd-flo-riv,No,No,Yes,"Melting sow, heavy rain",,,Km2,2004-03-28,2004-04-11,14,"Antigo area (Langlade district, Wisconsin province), Pembina, Walsh districts (North Dakota province)"
2004-0196-USA,fb4ab09c191d836029ba14e1a974a996,No,nat-cli-wil-for,No,No,No,,Heat wave,66.0,Km2,2004-05-02,2004-05-04,2,"Los Angeles, Riverside, San Diego, Santa Barbara districts (California province)"
2004-0245-USA,53e8f9a69406fc49018e057189c2c0ac,No,nat-met-sto-hai,No,No,No,,Flood|Hail,,Kph,2004-05-21,2004-05-27,6,"Morgan, Sangamon, Scott districts (Illinois province), Clark, Floyd, Washington districts (Indiana province), Adair, Appanoose, Benton, Clay, Dallas, Grundy, Humboldt, Jones, Linn, Marshall, Pocahontas, Story, Warren districts (Iowa province), Jackson, Linn, Shawnee, Republic districts (Kansas province), Estill, Fayette, Henderson, Henry, Magoffin, Martin, Powell, Pulaski districts (Kentucky province), Washington district (Maryland province), Sanilac, St. Clair, Tuscola districts (Michigan province), Gentry, Holt, Linn, Livingston, Macon, St. Clair districts (Missouri province), Adams, Cass, Clay, Custer, Franklin, Fillmore, Furnas, Gage, Harlan, Jefferson, Lancaster, Nuckolls, Otoe, Saline, Thayer, Webster, York districts (Nebraska province), Broome, Delaware districts (New York province), Athens, Brown, Fayette, Perry, Ross districts (Ohio province), Caddo, Noble, Osage, Pawnee, Tillman districts (Oklahoma province), Crawford district (Pennsylvania province), Hawkins district (Tennessee province), Nolan, Taylor, Val Verde districts (Texas province), Lancaster, Lee, Loudoun, Scott districts (Virginia province), Berkeley district (West Virginia province), Manitowoc, Dane, Columbia districts (Wisconsin province), North Carolina, South Carolina provinces"
2004-0248-USA,2128d6d8b596c59cb279e4146a045504,No,nat-hyd-flo-riv,No,No,No,,,,Km2,2004-05-28,2004-05-28,0,"Wayne, Oakland, Macomb, Livingston districts (Michigan province)"
2004-0249-USA,7262561d132bd40f5487bff673aef7af,No,nat-met-sto-lig,No,No,Yes,,Flood|Hail,,Kph,2004-05-29,2004-06-02,4,"Geneva, Jefferson, Lauderdale, Limestone, Madison districts (Alabama province), Cross, Mississippi, Nevada districts (Arkansas province), Crawford, Jefferson, Logan, Perry, Washington districts (Illinois province), Clark, Crawford, Hamilton, Hancock, Hendricks, Jackson, Madison, Marion, Monroe, Morgan, Miami, Owen, Tippecanoe, Vanderburgh, Warrick, Washington districts (Indiana province), Buchanan, Lee, Iowa districts (Iowa province), Cloud, Harper, Marshall, Republic, Sumner districts (Kansas province), Henry, Hopkins, Jefferson, Knox, Muhlenberg, McCracken, Webster districts (Kentucky province), St. Clair district (Michigan province), Tippah district (Mississippi province), Buchanan, Clinton, DeKalb, Daviess, Harrison, Laclede, Platte, St. Louis districts (Missouri province), Holt, Lincoln districts (Nebraska province), Adams district (Ohio province), Blaine, Canadian, Creek, Custer, Kingfisher, Mayes, Oklahoma, Tulsa, Wagoner districts (Oklahoma province), Brown, Edmunds, Clay districts (South Dakota province), Bedford, Bradley, Lincoln, Franklin, Giles, Grundy, Hardin, Moore districts (Tennessee province), Cottle, Houston, Tarrant districts (Texas province), Boone, Braxton, Cabell, Jackson, Kanawha, Lewis, Logan, Mason, Morgan, Mingo, Putnam, Upshur, Wayne, Wood, Wyoming districts (West Virginia province), Louisiana province"
2004-0338-USA,8eb02a5b2d1c1e0af7be18169514a99c,No,nat-met-sto-lig,No,No,No,,Flood,,Kph,2004-06-28,2004-06-28,0,"Milam, Guadalupe, Bexar districts (Texas province), Eagle district (Colorado province), Mississippi province, Richland district (South Carolina province), Franklinton city (Washington district, Louisiana province), Bufford city (Gwinnett district, Georgia province)"
2004-0346-CAN,f83339bba39a51472409921bbde2c131,No,nat-hyd-flo-fla,No,No,Yes,,Rain,,Km2,2004-07-13,2004-07-16,3,"Ontario, Alberta, Quebec provinces"
2004-0348-USA,b4a5a49f4fa1c93ca88e854aca027499,No,nat-cli-wil-for,No,No,No,,Heat wave|Storm,68.0,Km2,2004-07-12,2004-07-16,4,"Carson City district (Nevada province), Los Angeles district (California province)"
2004-0415-USA,7778c1f576a51eca021084e8ab7a89b4,No,nat-met-sto-tro,No,No,Yes,,Transport accident,230.0,Kph,2004-08-13,2004-08-13,0,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces"
2004-0446-USA,af60fc622348345d51439f429d999096,No,nat-cli-wil-for,No,No,No,,,4046.0,Km2,2004-08-13,2004-08-14,1,"Shasta Lake area (Shasta districts, California province)"
2004-0448-USA,a470d847828f436a339b2937c083564d,No,nat-met-sto-tro,No,No,Yes,,Flood,,Kph,2004-08-29,2004-08-30,1,"Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces"
2004-0455-USA,2764ce718cb40a21b0437b221b09cdaf,No,nat-met-sto-tro,No,No,Yes,,Rain,,Kph,2004-09-05,2004-09-05,0,"Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces"
2004-0462-USA,5e4bfc3f61be88ef19251d27e0d76180,No,nat-met-sto-tro,No,No,Yes,,"Flood|Slide (land, mud, snow, rock)",,Kph,2004-09-15,2004-09-16,1,"Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces"
2004-0473-USA,cfb3095aabecd8576f30fb845fc3222f,No,nat-met-sto-tro,No,No,Yes,,,,Kph,2004-09-25,2004-09-26,1,Florida province
2004-0502-USA,c585a29a866ea732857c122a82eb48c6,No,nat-met-sto-tor,No,No,No,,,,Kph,2004-09-08,2004-09-08,0,Caroline district (Virginia province)
2004-0572-USA,cc3df082ef5206af44c004ff8a9e339b,No,nat-hyd-flo-riv,No,No,Yes,Heavy rains,,,Km2,2004-10-30,2004-10-30,0,"Manoa Valley area (Honolulu district, Hawaii province)"
2004-0675-USA,4b88cc98ae82518230f91d85be2f1c7f,No,nat-hyd-flo-riv,No,No,No,,,,Km2,2004-07-12,2004-07-14,2,"Pennsylvania, New Jersey provinces"
2004-0731-USA,59ea825a1194707a70e7407face6172f,No,nat-met-sto-hai,No,No,No,,Hail,,Kph,2004-03-20,2004-03-21,1,"Arkansas, Illinois, Iowa, Indiana, Missouri, Oklahoma provinces"
2004-0740-USA,0eabc29261e5fdf2049682d9efbd41e3,No,nat-met-ext-col,No,No,No,,,,°C,2004-01-09,2004-01-12,3,"Connecticut, Delaware, Maryland, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont provinces"
2005-0015-USA,691d1cd24ee466ba125b3edd587fc4f8,No,nat-hyd-flo-riv,No,No,Yes,"Heavy rain, heavy snow","Slide (land, mud, snow, rock)",560.0,Km2,2005-01-07,2005-01-11,4,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces"
2005-0029-USA,dcb0a6fc21c0ab1f162e751e291f72f5,No,nat-met-sto-bli,No,No,No,,Cold wave,,Kph,2005-01-22,2005-01-24,2,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces"
2005-0103-USA,fc0edaaa7b18ad7adb2dd085267248f5,No,nat-hyd-flo-riv,No,No,No,Heavy rains,"Rain|Slide (land, mud, snow, rock)",,Km2,2005-02-17,2005-02-23,6,Los Angeles district (California province)
2005-0203-USA,0236c7553030484c52b27000aae2c375,No,nat-hyd-flo-riv,No,No,Yes,"Heavy rains, snowmelt",,130500.0,Km2,2005-04-01,2005-04-06,5,"New Jersey, Pennsylvania, New York, Maine provinces"
2005-0219-USA,8e5af6e9db32f012fabf521daf49b037,No,nat-met-sto-lig,No,No,Yes,,Flood,,Kph,2005-04-06,2005-04-08,2,Rankin district (Mississippi province)
2005-0286-USA,15a0e5299c44a440c32638c9a167fcbc,No,nat-hyd-flo-fla,No,No,Yes,,Rain,,Km2,2005-05-06,2005-05-08,2,Idaho province
2005-0351-USA,0a7364897d5af528b503a365740bb993,No,nat-met-sto-tro,No,No,Yes,,,,Kph,2005-07-10,2005-07-10,0,"Florida, Georgia provinces"
2005-0467-USA,2207abd0e2b40a03295078dbea23ff22,No,nat-met-sto-tro,No,No,Yes,,Broken Dam/Burst bank|Flood,280.0,Kph,2005-08-29,2005-09-19,21,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces"
2005-0530-USA,d0a737b9937595465c039bd4080dd166,No,nat-met-sto-tor,No,No,No,,,,Kph,2005-08-18,2005-08-18,0,Wisconsin province
2005-0547-USA,cbf4f30da5a1eef0e050fe616994286f,No,nat-met-sto-tro,No,No,Yes,,Flood,280.0,Kph,2005-09-23,2005-10-01,8,"Louisiana, Texas, Mississippi provinces"
2005-0553-CAN,be76161b49e7156b523e8a2f5e4f0c54,No,nat-met-sto-sto,No,No,No,,,,Kph,2005-09-26,2005-09-29,3,"Montreal, Acton, Beauharnois-Salaberry, Brome-Missisquoi, La Haute-Yamaska, Marguerite-D'Youville, La Vallée-du-Richelieu, Pierre-De Saurel, Le Haut-Richelieu, Le Haut-Saint-Laurent, Les Jardins-de-Napierville, Les Maskoutains, Roussillon, Rouville, Vaudreuil-Soulanges, Longueuil, Coaticook, Le Granit, Le Haut-Saint-Francois, Les Sources, Le Val-Saint-François, Memphrémagog, Sherbrooke districts"
2005-0583-USA,53bd9a657e7aae52b45949e38bc7bc59,No,nat-hyd-flo-riv,No,No,No,Heavy rain,Rain,38290.0,Km2,2005-10-08,2005-10-16,8,"Keene, Alstead, Stoddard, Unity, Hinsdale, Walpole areas (Cheshire district, New Hampshire), Brattleboro, Guilford areas (Windham district, Vermont province), Pittsfield area (Berkshire district, Massachusetts province), Greenfield area (Franklin district, Massachusetts province), Northbridge, Worcester, Southbridge areas (Worcester district, Massachusetts), Spring Lake area (Monmouth district, New Jersey province), Wayne, Little Falls, Pompton Lakes areas (Passaic district, New Jersey province), Oakland, Lodi, Westwood areas (Bergen district, New Jersey province), Bound Brook area (Somerset district, New Jersey province), Tolland, Windham, Hartford districts (Connecticut province)"
2005-0585-USA,119ffe85f59c1a771908b8266be6a62b,No,nat-met-sto-tro,No,No,Yes,,Flood|Rain,165.0,Kph,2005-10-24,2005-10-24,0,"Florida Keys, Naples areas (Collier district, Florida province)"
2005-0591-CAN,c39f93ba75266783cbb35beb189abab6,No,nat-hyd-flo-riv,No,No,Yes,Heavy rains,,330.0,Km2,2005-09-27,2005-09-29,2,"Stephenville & Kippens towns (Division No. 4 district, Newfoundland and Labrador province), Reidville town (Division No. 5 district, Newfoundland and Labrador province)"
2005-0682-USA,1f2ebcb787151e13498dad6b873d3990,No,nat-met-sto-bli,No,No,No,,,,Kph,2005-12-08,2005-12-09,1,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Idaho, Michigan, Minnesota, Montana, North Dakota, Oregon, South Dakota, Washington, Wisconsin, Wyoming provinces"
2005-0687-USA,67aa275921206de697c40dee5dfe042f,No,nat-met-ext-hea,No,No,No,,,47.0,°C,2005-07-04,2005-07-30,26,"Arizona, Nevada, Oklahoma, Utah, Missouri, Kentucky, Ohio, Mississippi provinces"
2005-0716-USA,b71e5ceaa74478a42697b046ed419f63,No,nat-hyd-flo-riv,No,No,Yes,Storm,"Rain|Slide (land, mud, snow, rock)",140500.0,Km2,2005-12-31,2006-01-18,18,"Reno area (Washoe district, Nevada province), Truckee area (Nevada district, California province), Napa, Sonoma, Mendocino, Marin, Solano, Los Angeles districts (California), Carson City district (Nevada province)"
2005-0724-USA,f1d1fd838d7d51c5e7c22cb31a134ec8,No,nat-cli-wil-for,No,No,Yes,,,,Km2,2005-12-27,2006-01-04,8,"Texas, Oklahoma provinces"
2005-0728-CAN,59796251f79c37c8c70f44a373527b6c,No,nat-hyd-flo-riv,No,No,No,Heavy rains,,86680.0,Km2,2005-06-07,2005-07-01,24,"Black Diamond, High River, Otokoks, Turner Valley towns (Division No. 6 district, Alberta province), Pincher Creek city (Division No. 3 district, Alberta province), Lethbridge city (Division No. 2 district, Alberta province), Siksika Reserve, Drumheller cities (Division No. 5 district, Alberta province), Red Deer city (Division No. 8 district, Alberta province)"
2006-0128-USA,6b3811396ebc251cd6ba3ff03b8087ab,No,nat-met-sto-tor,No,No,No,,Flood,202.0,Kph,2006-03-11,2006-03-13,2,"Missouri, Arkansas, Illinois, Indiana, Kansas, Oklahoma provinces"
2006-0161-USA,42649e0a153ebf81f03ffe0157f27ec3,No,nat-met-sto-hai,No,No,No,,Hail,,Kph,2006-04-02,2006-04-03,1,"Tennessee, Illinois, Arkansas, Indiana, Oklahoma, Missouri, Kentucky, Iowa provinces"
2006-0171-USA,6eaa319ec0800ba0e2967ed1adb604f7,No,nat-met-sto-hai,No,No,No,,Hail,,Kph,2006-04-06,2006-04-08,2,"Sumner, Warren districts (Tennessee province), Alabama, Georgia, Indiana, Kansas, Kentucky, Ohio provinces"
2006-0180-USA,73b6fe362359dd80cb5b5abbb15a7c0c,No,nat-hyd-flo-riv,No,No,Yes,Heavy rains,"Broken Dam/Burst bank|Slide (land, mud, snow, rock)",44110.0,Km2,2006-04-04,2006-04-17,13,"Amador, Calaveras, Fresno, Merced, San Joaquin, San Mateo, Stanislau districts (California province)"
2006-0182-USA,f73a1bef9e6fbf90a23190dc659a0b05,No,nat-hyd-flo-riv,No,No,No,Heavy rain,"Broken Dam/Burst bank|Slide (land, mud, snow, rock)",585.0,Km2,2006-03-14,2006-03-23,9,Kauai district (Hawaii province)
2006-0203-CAN,2087e3c13564a30b25d4cbb971a235ed,No,nat-hyd-flo-riv,No,No,Yes,Heavy rain,,730.0,Km2,2006-04-18,2006-04-24,6,"Baie Verte, Middle Arm, Smith's Harbour, Burlington cities (Division No.8 district, Newfoundland and Labrador province)"
2006-0206-CAN,3d27b19d29516b23de5c26a1d0e8cc9f,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,63270.0,Km2,2006-04-12,2006-04-20,8,"Red Earth First Nation, Porcupine Plain cities (Division No.14 district, Saskatchewan province), Fishing Lake (Division No.10 district, Saskatchewan province)"
2006-0224-CAN,f9ec77ad5000b238dddec7dbc6420c23,No,nat-hyd-flo-riv,No,No,No,Snowmelt,Broken Dam/Burst bank,7030.0,Km2,2006-04-22,2006-05-31,39,"Fort Albany city (Cochrane district, Ontario province)"
2006-0257-USA,a7e13cc6d9cf46e2b50df89688f76455,No,nat-met-sto-lig,No,No,No,,Hail,,Kph,2006-05-01,2006-05-07,6,"Tarrant, Bexar districts (Texas province)"
2006-0260-USA,d4e88f859caa7c4f9bf411ac2da05f6b,No,nat-hyd-flo-riv,No,No,Yes,Heavy rains,Rain,42910.0,Km2,2006-05-11,2006-05-22,11,"New Hampshire, Maine, Massachusetts provinces"
2006-0261-CAN,b20615e7cb820bb0ff1a18f5479a5f10,No,nat-hyd-flo-riv,No,No,No,Snowmelt,,3210.0,Km2,2006-05-26,2006-06-02,7,"Aklavik city (Region 1 district, Northwest Territories province)"
2006-0269-CAN,add2955d86089b2a2447c2e14b82e1af,No,nat-hyd-flo-riv,No,No,No,Rains and snowmelt,,,Km2,2006-05-20,2006-05-28,8,"Grand Forks city (Kootenay Boundary district, British Columbia province), Nelson city (Central Kootenay district, British Columbia province), Penticton city (Okanagan-Similkameen district, British Columbia province)"
2006-0341-USA,51a1544eb1446b4c87dc98cfde26d622,No,nat-hyd-flo-riv,No,No,No,"Heavy rain, thunderstoms","Slide (land, mud, snow, rock)",122600.0,Km2,2006-06-25,2006-07-01,6,"Maryland, Pennsylvania, New York, Delaware, Virginia, New Jersey provinces"
2006-0344-USA,ccd0a85487149aa6727abe86d24ecfce,No,nat-hyd-flo-riv,No,No,No,Severe storms,,6780.0,Km2,2006-06-22,2006-06-25,3,"Huron, Erie, Crawford, Lucas, Sandusky districts (Ohio province)"
2006-0374-USA,b4a3e30c4635d296949525fab62aa012,No,nat-cli-wil-wil,No,No,Yes,,,350.0,Km2,2006-07-09,2006-07-14,5,California province
2006-0387-USA,de6db375a29af985762e9e81adaf6c5b,No,nat-met-ext-hea,No,No,No,,,50.0,°C,2006-07-14,2006-08-15,32,"Modesto city (Stanislaus district, California province)"
2006-0413-USA,fd7faaaa0d786d6b906c5b3a80e234cd,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,3610.0,Km2,2006-07-27,2006-08-07,11,El Paso district (Texas province)
2006-0418-USA,f62df667a88ef9dc59b514c25ebc326c,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,4720.0,Km2,2006-07-27,2006-07-30,3,Lake district (Ohio province)
2006-0427-USA,13f982e50f4435e7f70edfb0564f90f2,No,nat-met-ext-hea,No,No,Yes,,,44.0,°C,2006-07-30,2006-08-06,7,New York province
2006-0461-USA,a88bbaa31f00bec391c51bb2398fe1a8,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,95940.0,Km2,2006-08-19,2006-08-24,5,Alaska province
2006-0466-USA,3448ee7afe70827f63025fb41e1a4bdd,No,nat-met-sto-tro,No,No,No,,Flood,119.0,Kph,2006-08-02,2006-09-07,36,"South Carolina, North Carolina, Virginia provinces"
2006-0546-USA,32e9ec1b01488719ea815339e40e82d8,No,nat-hyd-flo-riv,No,No,Yes,Heavy rain,Rain,146000.0,Km2,2006-09-22,2006-09-26,4,"Mercer, Jessamine, Franklin, Calloway, Montgomery districts (Kentucky province), Sharp, Clay, Fulton, Randolph, Lawrence districts (Arkansas province), Obion district (Tennessee province), Missouri, Indiana, Illinois provinces"
2006-0566-USA,fb5a232b7f1a29316aee0bb91d67f9cc,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,51560.0,Km2,2006-10-09,2006-10-14,5,"Prince William Sound area (Valdez-Cordova district, Alaska province)"
2006-0576-USA,f61c7997cea9e160ee43f9ae7fbb13f3,No,nat-cli-wil-lan,No,No,Yes,,,,Km2,2006-10-26,2006-10-27,1,"Riverside, Palm Springs cities (Riverside district, California province), San Diego district (California province)"
2006-0595-USA,2742d01fbf18e6ee51098f4e318164e6,No,nat-met-sto-tor,No,No,No,,Flood,,Kph,2006-11-15,2006-11-16,1,"North Carolina, Alabama, Arizona, Arkansas, Louisiana, Maryland, Mississippi, Pennsylvania, South Dakota, Texas provinces"
2006-0598-USA,cfdaa3b89254b0703bc2523ef8d1da0e,No,nat-hyd-flo-riv,No,No,No,Heavy rains,,57890.0,Km2,2006-11-05,2006-11-10,5,"Washington, Oregon provinces"
2006-0642-USA,09cbaf88f6c143f386a74c1b58e02a45,No,nat-met-sto-bli,No,No,Yes,,Flood,,Kph,2006-10-12,2006-10-14,2,"Erie, Niagara, Genesee, Orleans districts (New York province)"
2006-0662-USA,d0ffe9a7f18f2bf397c43ac188c2fd2f,No,nat-cli-wil-lan,No,No,Yes,,,,Km2,2006-12-03,2006-12-06,3,Ventura district (California province)
2006-0704-USA,7b0e6309b5e93b341fd8dcdbdd8b8cbd,No,nat-geo-ear-gro,No,No,No,,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave",6.7,Moment Magnitude,2006-10-15,2006-10-15,0,Hawai province
2006-0706-USA,7383989cd00f6d1ec18eba543780dbb6,No,nat-met-sto-tor,No,No,No,,,193.0,Kph,2006-12-25,2006-12-25,0,"Daytona beach (Volusia district, Florida province)"
2006-0707-USA,101d4055d0c3e7e2bd1f06d82491d528,No,nat-met-sto-bli,No,No,Yes,,,,Kph,2006-12-21,2006-12-21,0,Colorado provinces
2006-0718-USA,debe41e41773eddf6930dd4bf8f9d044,No,nat-met-sto-bli,No,No,Yes,,,,Kph,2006-12-27,2006-12-31,4,Kansas province
2006-0743-USA,bd5acbff8b1de38fb56b7d822c912ca2,No,nat-met-sto-sto,No,No,No,,Rain,,Kph,2006-11-30,2006-12-03,3,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee provinces"
2006-0744-USA,1f5d98a436d7e728f29af630d2405a63,No,nat-met-sto-sto,No,No,No,,,,Kph,2006-12-14,2006-12-15,1,"Oregon, Washington provinces"
2007-0026-USA,df00352ea983842e8f14c91076c073ef,No,nat-met-sto-sto,No,No,Yes,,Cold wave|Rain,,Kph,2007-01-12,2007-01-17,5,"California, Texas, Georgia, South Carolina, Oklahoma, Missouri, Iowa, Michigan, New York, Maine, Kansas, Illinois provinces"
2007-0041-USA,91ccbd26b813ee84d08b1a5d0d045c96,No,nat-hyd-flo-riv,No,No,No,Heavy rains,,434.4,Km2,2007-01-15,2007-01-25,10,"Indiana, Arkansas, Texas, Ohio, Missouri provinces"
2007-0048-USA,4008a2bb1ce0f7d0e3378f6051c96a63,No,nat-met-sto-tor,No,No,Yes,,,265.0,Kph,2007-02-02,2007-02-02,0,"Volusia, Lake, Sumter, Seminole districts (Florida province)"
2007-0066-CAN,6cac820861044e1c32a6aeb23001f47e,No,nat-met-sto-bli,No,No,No,,Cold wave,,Kph,2007-02-14,2007-02-15,1,"Ontario, Quebec provinces"
2007-0066-USA,fb263dcc7ef3ef46317c5f4fb770df6e,No,nat-met-sto-bli,No,No,No,,Cold wave,64.0,Kph,2007-02-14,2007-02-15,1,"New York, Vermont, New Jersey, Ohio, Pennsylvania provinces"
2007-0083-USA,5d85facf84feb89e3e2aba6bf611a44a,No,nat-met-sto-tor,No,No,No,,,,Kph,2007-03-01,2007-03-02,1,"Alabama, Missouri, Georgia, Minnesota provinces"
2007-0156-USA,5b5e54b26d239e94b53e53f649d087ce,No,nat-met-sto-tor,No,No,No,,Flood,240.0,Kph,2007-04-24,2007-04-26,2,Texas province
2007-0165-CAN,cee29cf0a7f09416a058ebdeed8ac89d,No,nat-hyd-flo-riv,No,No,No,Snowmelt,,205000.0,Km2,2007-06-06,2007-06-11,5,"Terrace city (Kitimat-Stikine district, British-Columbia province), Smithers city, Telkwa village (Bulkley-Nechako district, British-Columbia province), Prince George city, McBride village (Fraser-Fort George district, British Columbia province)"
2007-0173-USA,b0d8cb204a10af50f66a00ed43807085,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,341.3,Km2,2007-05-24,2007-05-29,5,"Texas, Kansas, Oklahoma provinces"
2007-0244-USA,b3074efb5023267f6952e5aecec4b8c6,No,nat-hyd-flo-riv,No,No,No,Heavy rain,Rain,507800.0,Km2,2007-06-26,2007-07-06,10,"Wichita Falls area (Wichita district, Texas province), Georgetown areas (Williamson district, Texas province), Burnet, Marble Falls, Granite Shoals areas (Burnet district, Texas province), Granbury area (Hood district, Texas province), Lampasas, Parker, Eastland districts (Texas province), Miami, Commerce areas (Ottawa district, Oklahoma province), Shawnee, Tecumseh, Maud areas (Pottawatomie district, Oklahoma province), Oklahoma city (Oklahoma district, Oklahoma province), Waurika area (Jefferson district, Oklahoma province), Bartlesville, Dewey areas (Washington district, Oklahoma province), Love, Lincoln districts (Oklahoma province), Coffeyville area (Montgomery district, Kansas province), Osawatomie area (Miami district, Kansas province), Allen, Labette, Neosho, Wilson, Woodson districts (Kansas province), Rockville, Papinville areas (Bates district, Missouri province), Vernon district (Missouri province)"
2007-0251-USA,010d7b76b69ebcfedd3d7bd845872f73,No,nat-hyd-flo-fla,No,No,No,Brief torrential rain,Rain,6500.0,Km2,2007-06-19,2007-06-20,1,New York province
2007-0254-USA,96781c9aa0fa886c7911fdfb065e1655,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,34750.0,Km2,2007-06-17,2007-06-22,5,"North Texas, Oklahoma provinces"
2007-0351-USA,e3623bca0e7d39b33714f75d40e41259,No,nat-cli-wil-for,No,No,No,,,,Km2,2007-06-24,2007-07-02,8,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)"
2007-0359-USA,a356f2ea4762a926a7262dbff645f1b5,No,nat-met-sto-tro,No,No,No,,Flood,132.0,Kph,2007-08-16,2007-08-19,3,"Texas, Oklahoma, Missouri provinces"
2007-0383-USA,def7ab912fefada57dba7faaf63724db,No,nat-hyd-flo-riv,No,No,No,Heavy rains,"Rain|Slide (land, mud, snow, rock)",1217000.0,Km2,2007-08-16,2007-08-27,11,"Illinois, Colorado, Michigan, Minnesota, Wisconsin, Ohio, Oklahoma, North Dakota provinces"
