DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Origin,Associated Types,Magnitude,Magnitude Scale,Start Date,End Date
2019-0513-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Saddleridge fire & Sandalwood fire,,,,Km2,2019-10-10,2019-10-17
2019-0517-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Kincade Fire,,,,Km2,2019-10-26,2019-10-31
2019-0532-CAN,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,100.0,Kph,2019-10-31,2019-11-02
2019-0593-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,2019-11-27,2019-12-03
2019-0624-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,260.0,Kph,2019-12-16,2019-12-18
2020-0011-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,,Kph,2020-01-10,2020-01-12
2020-0082-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2020-03-02,2020-03-05
2020-0089-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,,,Km2,2020-02-10,2020-02-17
2020-0148-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,160.0,Kph,2020-04-10,2020-04-14
2020-0167-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,,Kph,2020-04-21,2020-04-24
2020-0190-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2020-04-06,2020-04-09
2020-0191-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Rising temperatures and subsequent ice jamming,,,Km2,2020-04-26,2020-04-30
2020-0212-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,Broken Dam/Burst bank,,Km2,2020-05-17,2020-05-20
2020-0219-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Cristobal',,,85.0,Kph,2020-06-07,2020-06-07
2020-0238-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,130.0,Kph,2020-05-02,2020-05-03
2020-0266-CAN,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,,Kph,2020-06-13,2020-06-14
2020-0312-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Isaias',,,,Kph,2020-07-31,2020-08-02
2020-0316-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Hanna',,Flood,150.0,Kph,2020-07-25,2020-07-25
2020-0376-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Laura',,Industrial accidents,240.0,Kph,2020-08-27,2020-08-28
2020-0412-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Delta',,Flood,195.0,Kph,2020-10-07,2020-10-11
2020-0438-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Sally',,Flood,165.0,Kph,2020-09-11,2020-09-18
2020-0441-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,August Complex fire,,,,Km2,2020-08-16,2020-10-01
2020-0474-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000218,Hurricane 'Eta',,Flood|Surge,100.0,Kph,2020-11-08,2020-11-12
2020-0483-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Zeta',,Surge,175.0,Kph,2020-10-24,2020-10-30
2020-0538-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood|Hail,110.0,Kph,2020-11-10,2020-11-10
2020-0580-USA,No,nat-met-sto-der,Natural,Meteorological,Storm,Derecho,,,,,,Kph,2020-08-08,2020-08-12
2020-0582-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,,Kph,2020-03-27,2020-03-28
