ImpactID,LocationID,Classification_Key,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
9973efd85faa20731e9b24d4e916f7e1,822871cd1ec087cf19ab445ce49062dd,nat-cli-wil-for,USA,,,2000.0,213.0,2213.0
0c0801708a595d021c0b75624ec52389,8c958f4fc8f1defd53010ec800ba755a,nat-met-sto-tro,USA,1.0,,13200.0,,13200.0
5462a31c348a921e06f1584d81c1a509,afd0bba560ad4ad5f95cebfe3c3024d5,nat-bio-epi-dis,USA,,,101.0,,101.0
82b3b236b1538d588100b7ea30533261,4001bb7dacb978df2c4db12221b32dc4,nat-met-sto-tor,USA,36.0,115.0,3600.0,351.0,4066.0
1843a7e746bb7099166c93d459fe106e,35d759aa2bff24f59596e635dc8563ae,nat-met-sto-tro,USA,,,,,
e4c7adf4666576c95be0b4601b8bdad7,e92af25c8b787754578742a2d1acc613,nat-met-sto-bli,USA,30.0,,,,
987591094f8e76b20d562c7c9863b343,6209a6b37c8555cee3b95abc76fda40d,nat-met-sto-sto,USA,13.0,,,,
6ea78b84e68d5db245c69837118d8228,cca51308936a85799f3662aa0b3df1e6,nat-met-sto-bli,USA,18.0,,,,
a0030c42a6dcaeaed6f637d6f2c1254f,4edc8c1c3765b309c0bc596793490b86,nat-met-sto-sto,USA,1.0,47.0,,,47.0
c99c84f7ab42d91883d34b0648380718,913ecac7739d105ea477266738019bcc,nat-met-sto-bli,USA,44.0,,120.0,,120.0
0a10c3152fd7133547659a255fd36825,dd6eb6f589c09740f176fd31d43bbe65,nat-hyd-flo-riv,CAN,,,1100.0,,1100.0
141d9a9af260d0e79eb0520ba8aa651f,e5202bd333d156b43dcfda233cf55643,nat-met-sto-tor,USA,6.0,200.0,,186.0,386.0
3caa8683f3aae2c649ff78ffba232c33,3df02e797d098d28b9a64b4ebcabf874,nat-met-sto-bli,USA,3.0,,,,
bdeba8df0028a59609c6ef39f289bf3e,9950fbc75f6c33e5e7c87999a25348b5,nat-met-sto-tor,USA,45.0,145.0,,15000.0,15145.0
df3d8cc6ed041545a8814e5eb8d8c2fa,f7d35800ee354a760abedd625d31d8b4,nat-hyd-flo-riv,CAN,2.0,,170.0,,170.0
ba3c1396a3471c675ee2af133ce2c74a,a75e6565fbeb802376f9ec8cd5b1265d,nat-cli-wil-for,USA,,,,750.0,750.0
533c16c8e8ed5623b7ae9796aa9116b2,ed3d6e57c5d489aa7d7d78d48b23f138,nat-hyd-flo-riv,USA,3.0,,1200.0,,1200.0
4fe2b7040aa428f40a556c080e0eb3ef,65b1ab665faaaf370991ab93922c2cf9,nat-cli-wil-for,CAN,1.0,,,,
b2273788f3e89a0963d4da38b2b97b60,8726194ca81c69725244df2032f65c60,nat-met-sto-tor,USA,,,1500.0,,1500.0
9c22ee5fa4a62d7a273aed0738bd80da,48c3b98fe6b6c537b01a88bea9bccbc3,nat-hyd-flo-fla,CAN,,,400.0,,400.0
aa5cfe43423d2d02d84db4d4e2bf8929,fc21653bd5a35cf6590c6f0d4d9e9220,nat-met-sto-tro,BMU,4.0,,,,
7bf4903f62391239f486f3b57c5f4c47,7ec368c7a3b9988000c181908afdf58f,nat-met-sto-tro,CAN,,,,,
57aa7fdca9d0639ee38c4f756a99c1c1,bdce2d89310579aa2fd2a064087b6923,nat-met-sto-tro,USA,16.0,,225000.0,,225000.0
61e561e71a36bf45f43c5bfe40b9b9f5,f11351deb725f2fc25ad395b90057599,nat-met-sto-tro,CAN,2.0,,200.0,,200.0
00733c044008147bae3d7cf50330a416,8b3a09e01b5e4bfc5ec612057c0b2215,nat-hyd-flo-riv,CAN,2.0,,800.0,,800.0
41d6a6a0049ca68a156a808f666b1e68,e3b095bef99a9e7f2b3d1dcd607e40c1,nat-hyd-flo-riv,USA,,,,,
458c005c6b1ed49e2de74ea9755c5028,449092b59518297a89c999e58509870e,nat-cli-wil-for,USA,14.0,104.0,27000.0,,27104.0
b8e8e837477d429b13040acb8ef372eb,721193611305941fb5a3272b1cc74421,nat-met-sto-sto,USA,8.0,,1125.0,,1125.0
f76abf3c02043c890d3c823c10674780,a22efbe6071b05039493a868f1ac8dd8,nat-met-sto-bli,USA,13.0,,,,
53d0890532e662c689f78242e2bb7e14,5e864023332900b9f57b0afdebd0a00f,nat-geo-ear-gro,USA,2.0,40.0,,120.0,160.0
15e2dfc57f57a4206f95e1c003cf91d3,97e5432c4351084379960871b1964204,nat-hyd-mmw-mud,USA,15.0,15.0,,,15.0
fb069eb74e40db79e3379523a0adb699,6e2f022a3648c38d6702f718d57e481d,nat-hyd-flo-fla,USA,18.0,,,,
bd62bf7099a7ea1e69dc25d4f5f93354,27ff55bf52a6899926bd87ee3d976a9b,nat-met-sto-sto,USA,4.0,18.0,100.0,,118.0
6473e700110abe2e2f83c2949fbf20c1,793b06c570e0e254b32816f24d8de79b,nat-hyd-flo-riv,USA,3.0,,2000.0,,2000.0
7988a7098c93878ed679298f17be0d9d,2638a04b05cccb27aa76b3ee42e5f159,nat-met-sto-tor,USA,,,150.0,45.0,195.0
a87a33eba417f9280dc89439e260a53b,7e6fe71bd59f1308a1badf54344dc8a5,nat-met-sto-tro,USA,4.0,4.0,,,4.0
972a9b86df0bcbda6390f1698aca0950,97e5432c4351084379960871b1964204,nat-cli-wil-for,USA,4.0,40.0,,,40.0
6002cd78e4ac894084a8137f1e36c1f3,7988ee991c9ec08eccabb8a3ce2aeda7,nat-met-sto-sto,USA,2.0,54.0,,,54.0
2422180166a24b685c0ca686d95f6f12,8f779ed2a1c70bb9d7bb7fa47b35690e,nat-met-sto-sto,USA,13.0,,,,
246a7072626a000cb96bed1dabef3aea,1594d352cebd401ae0768e616ebfe4fd,nat-met-sto-bli,USA,14.0,,,,
cbca3133bb9d905b12f16d9e3bbd03bd,0d62ce31ee5369c2eef31086a3cc090f,nat-met-sto-bli,USA,56.0,,,,
d7de18a76b911bb69f08d52607dfb075,2a8d19d41e18062d6fa6c1fbddc0b726,nat-met-sto-bli,CAN,,,,,
c7a249e72c01bcb58190a1d74dfa9323,462b56788ee916d4482596fec30159d2,nat-met-sto-tor,USA,9.0,,1404.0,345.0,1749.0
bad8357958ef95a3e92c4736fa46a5e1,3282eeb43c9b7a5b639d7e3cde928dbc,nat-hyd-flo-riv,CAN,,,1000.0,,1000.0
53d136a92dc7930fcf07c0122bbe5bd8,f3d47fa0d4b007c956fa5e7dde2f5eaf,nat-hyd-flo-riv,USA,,,306.0,,306.0
fb4ab09c191d836029ba14e1a974a996,46e95c8a928c33b87a5c10d57eb909b9,nat-cli-wil-for,USA,,,15000.0,,15000.0
53e8f9a69406fc49018e057189c2c0ac,ad59814de937c8dc5b4d5a1f71157857,nat-met-sto-hai,USA,5.0,37.0,6000.0,408.0,6445.0
2128d6d8b596c59cb279e4146a045504,0ee73c0f5c8b1d73955802fda95f3c56,nat-hyd-flo-riv,USA,,,4929.0,,4929.0
7262561d132bd40f5487bff673aef7af,40b351b66b49a3cf70ebec1230bd9805,nat-met-sto-lig,USA,10.0,,1000.0,,1000.0
8eb02a5b2d1c1e0af7be18169514a99c,a9a0f7de834dc6bbb96baaf659973099,nat-met-sto-lig,USA,4.0,6.0,307.0,,313.0
f83339bba39a51472409921bbde2c131,be8e5b623dced5150518491d05ede467,nat-hyd-flo-fla,CAN,,,,,
b4a5a49f4fa1c93ca88e854aca027499,d0fc23a7dec2490f6c03a681ee9ced6d,nat-cli-wil-for,USA,,,200.0,42.0,242.0
7778c1f576a51eca021084e8ab7a89b4,7a06dcd31f813e1485cd3fb65f3aa463,nat-met-sto-tro,USA,10.0,,30000.0,,30000.0
af60fc622348345d51439f429d999096,ad1cc8f74fdfa5c1a2c7032ec76df0d4,nat-cli-wil-for,USA,,5.0,,240.0,245.0
a470d847828f436a339b2937c083564d,ca9441096a24d4ac0fd8412b80561856,nat-met-sto-tro,USA,7.0,,,,
2764ce718cb40a21b0437b221b09cdaf,575c675cf489d3c8a9febc223c62ce08,nat-met-sto-tro,USA,47.0,,5000000.0,,5000000.0
5e4bfc3f61be88ef19251d27e0d76180,687d2017555d5d616383196e6e79ed91,nat-met-sto-tro,USA,52.0,,,,
cfb3095aabecd8576f30fb845fc3222f,6dab3f46a54553c8c1ba065f296ca031,nat-met-sto-tro,USA,6.0,,40000.0,,40000.0
c585a29a866ea732857c122a82eb48c6,fe4bf0482434af2cef843b1582341536,nat-met-sto-tor,USA,,,189.0,,189.0
