ImpactID,DisNo.,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total_Damage_000_USD,"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
e09edf3008823d00ae674a2b7989ca7c,2001-0145-USA,4.0,18.0,765.0,30.0,813.0,,,,,23000.0,39579.0,58.11147437438208,"[{""adm2_code"":29329,""adm2_name"":""Madison""},{""adm2_code"":29472,""adm2_name"":""Benton""},{""adm2_code"":29473,""adm2_name"":""Black Hawk""},{""adm2_code"":29474,""adm2_name"":""Boone""},{""adm2_code"":29499,""adm2_name"":""Fayette""},{""adm2_code"":29505,""adm2_name"":""Guthrie""},{""adm2_code"":29506,""adm2_name"":""Hamilton""},{""adm2_code"":29518,""adm2_name"":""Johnson""},{""adm2_code"":29531,""adm2_name"":""Mills""},{""adm2_code"":29544,""adm2_name"":""Pottawattamie""},{""adm2_code"":29546,""adm2_name"":""Ringgold""},{""adm2_code"":29556,""adm2_name"":""Wapello""},{""adm2_code"":29560,""adm2_name"":""Webster""},{""adm2_code"":29589,""adm2_name"":""Edwards""},{""adm2_code"":29591,""adm2_name"":""Ellis""},{""adm2_code"":29594,""adm2_name"":""Ford""},{""adm2_code"":29610,""adm2_name"":""Jewell""},{""adm2_code"":29612,""adm2_name"":""Kearny""},{""adm2_code"":29636,""adm2_name"":""Osborne""},{""adm2_code"":29644,""adm2_name"":""Republic""},{""adm2_code"":29647,""adm2_name"":""Rooks""},{""adm2_code"":29657,""adm2_name"":""Smith""},{""adm2_code"":29663,""adm2_name"":""Trego""},{""adm2_code"":29666,""adm2_name"":""Washington""},{""adm2_code"":30174,""adm2_name"":""Callaway""},{""adm2_code"":30183,""adm2_name"":""Clark""},{""adm2_code"":30187,""adm2_name"":""Cooper""},{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30198,""adm2_name"":""Gentry""},{""adm2_code"":30211,""adm2_name"":""Johnson""},{""adm2_code"":30221,""adm2_name"":""Madison""},{""adm2_code"":30240,""adm2_name"":""Pettis""},{""adm2_code"":30258,""adm2_name"":""St. Charles""},{""adm2_code"":30274,""adm2_name"":""Worth""},{""adm2_code"":30365,""adm2_name"":""Gage""},{""adm2_code"":30396,""adm2_name"":""Nuckolls""},{""adm2_code"":30408,""adm2_name"":""Sarpy""},{""adm2_code"":30416,""adm2_name"":""Thayer""},{""adm2_code"":30421,""adm2_name"":""Webster""},{""adm2_code"":30810,""adm2_name"":""Atoka""},{""adm2_code"":30811,""adm2_name"":""Beaver""},{""adm2_code"":30822,""adm2_name"":""Coal""},{""adm2_code"":30838,""adm2_name"":""Haskell""},{""adm2_code"":30842,""adm2_name"":""Johnston""},{""adm2_code"":30869,""adm2_name"":""Pontotoc""},{""adm2_code"":30870,""adm2_name"":""Pottawatomie""},{""adm2_code"":31232,""adm2_name"":""Carson""},{""adm2_code"":31248,""adm2_name"":""Cooke""},{""adm2_code"":31297,""adm2_name"":""Hansford""},{""adm2_code"":31316,""adm2_name"":""Hutchinson""},{""adm2_code"":31441,""adm2_name"":""Wheeler""},{""adm2_code"":31442,""adm2_name"":""Wichita""}]",2003-07-01,2023-09-25
4b82b467ccc0cd858d42931e57eeeb0c,2001-0194-USA,,,492.0,,492.0,,,,,1800.0,3097.0,58.11147437438208,"[{""adm2_code"":29007,""adm2_name"":""Clay""},{""adm2_code"":29038,""adm2_name"":""Marion""}]",2003-07-01,2023-09-25
4ce77ea9d8d3d05109afb676685bec47,2001-0203-CAN,1.0,,399.0,,399.0,,,,,,,58.11147437438208,,2003-07-01,2023-09-25
72ffb616368e11dc8458ca747df77431,2001-0242-USA,41.0,,102000.0,70000.0,172000.0,,,3500000.0,6022907.0,6000000.0,10324983.0,58.11147437438208,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2006-10-11,2023-09-25
1be48f8fe68f50d1e2a19f45c282efbf,2001-0262-USA,,,200.0,,200.0,,,,,,,58.11147437438208,"[{""adm2_code"":29309,""adm2_name"":""Henry""},{""adm2_code"":29353,""adm2_name"":""Rock Island""}]",2005-09-19,2023-09-25
1d834c835d9c01a6f04282fdf7ccc8fd,2001-0266-USA,2.0,,100.0,,100.0,,,,,,,58.11147437438208,"[{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3259,""adm1_name"":""Vermont""}]",2003-07-01,2023-09-25
eec338274210e6aed14e42ebb067c249,2001-0268-USA,1.0,,4400.0,,4400.0,,,,,13000.0,22371.0,58.11147437438208,"[{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""}]",2005-09-19,2023-09-25
ebe3655caf5fd552e82497c9df70b2e4,2001-0270-USA,1.0,32.0,1707.0,,1739.0,,,,,,,58.11147437438208,"[{""adm2_code"":29570,""adm2_name"":""Barton""}]",2003-07-01,2023-09-25
893f6acd0913c0acc498b63e74fc3c04,2001-0303-USA,1.0,10.0,129.0,,139.0,,,,,,,58.11147437438208,"[{""adm1_code"":3223,""adm1_name"":""Florida""}]",2003-07-01,2023-09-25
1fffb45b57cc327b48059b9c73b4b2a5,2001-0340-CAN,,,1200.0,,1200.0,,,,,,,58.11147437438208,"[{""adm1_code"":825,""adm1_name"":""Alberta""}]",2003-07-01,2023-09-25
6e6dc9d81f6f18a6e9a8f58c778344bc,2001-0351-USA,,,75.0,18.0,93.0,,,,,,,58.11147437438208,"[{""adm2_code"":29493,""adm2_name"":""Decatur""},{""adm2_code"":29548,""adm2_name"":""Scott""}]",2003-07-01,2023-09-25
580fd68023cf0769d327314b4b0521dd,2001-0451-USA,,,,,,,,,,,,58.11147437438208,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2003-07-01,2023-09-25
007f2c6898cdedc5a323aebf75122289,2001-0460-USA,2.0,,10500.0,4500.0,15000.0,,,,,20000.0,34417.0,58.11147437438208,"[{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2005-09-20,2023-09-25
ab645cbf565a8210f06a5bddde3d98df,2001-0473-USA,3.0,8.0,360.0,,368.0,,,,,10000.0,17208.0,58.11147437438208,"[{""adm2_code"":31730,""adm2_name"":""Burnett""},{""adm2_code"":31789,""adm2_name"":""Washburn""}]",2003-07-01,2023-09-25
44b49f687f0eb0c2f0fa1b540f5eeb09,2001-0474-USA,,,225.0,,225.0,,,,,,,58.11147437438208,"[{""adm2_code"":30009,""adm2_name"":""Crow Wing""}]",2003-07-01,2023-09-25
19e53d1ecc794000de2b87d00b44a18e,2001-0477-USA,,2.0,120.0,,122.0,,,,,,,58.11147437438208,"[{""adm2_code"":154738,""adm2_name"":""Adams""}]",2003-07-01,2023-09-25
449dcbdfbddd0b81373417b23408b905,2001-0564-USA,,7.0,300.0,,307.0,,,,,,,58.11147437438208,"[{""adm2_code"":30372,""adm2_name"":""Hamilton""},{""adm2_code"":30392,""adm2_name"":""Merrick""},{""adm2_code"":30403,""adm2_name"":""Polk""},{""adm2_code"":30882,""adm2_name"":""Washita""}]",2003-07-01,2023-09-25
3c8442836d68e40dfb277fbc5dcc8d90,2001-0566-USA,2.0,50.0,,1000.0,1050.0,,,,,30000.0,51625.0,58.11147437438208,"[{""adm2_code"":29884,""adm2_name"":""Howard""},{""adm2_code"":29887,""adm2_name"":""Prince George's""}]",2003-07-01,2023-09-25
3de3f33fd441cd289658cc01ddfec078,2001-0601-USA,,,360.0,,360.0,,,,,4000.0,6883.0,58.11147437438208,"[{""adm2_code"":31300,""adm2_name"":""Harris""}]",2003-07-01,2023-09-25
636bfab3c256edbbcba020df25afb7ba,2001-0602-USA,,2.0,1800.0,150.0,1952.0,,,,,7000.0,12046.0,58.11147437438208,"[{""adm2_code"":31362,""adm2_name"":""Medina""}]",2003-07-01,2023-09-25
9926e217d87dc180a1fbe9f9cd3eb95f,2001-0722-USA,1.0,,,,,,,,,,,58.11147437438208,"[{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2003-07-01,2023-09-25
240482092817af7a231994486853b71c,2001-0724-USA,9.0,,600.0,,600.0,,,,,,,58.11147437438208,"[{""adm1_code"":3257,""adm1_name"":""Texas""}]",2005-09-21,2023-09-25
0a2fcf652ed900ba862b994186d15c15,2001-0770-USA,56.0,,,,,,,,,,,58.11147437438208,"[{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""}]",2003-07-01,2023-09-25
369b19577b26782718d61c140b49c7c0,2001-0771-USA,11.0,,,200.0,200.0,,,,,,,58.11147437438208,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3256,""adm1_name"":""Tennessee""}]",2003-07-01,2023-09-25
cb7219fac51286116e10914bb3781dc9,2001-0772-USA,,,3600.0,,3600.0,,,,,,,58.11147437438208,"[{""adm1_code"":3222,""adm1_name"":""District of Columbia""}]",2003-07-01,2023-09-25
58f4a5a0b3c51cb6d9e564c934c22d92,2001-0773-USA,,2.0,200.0,,202.0,,,,,3000.0,5162.0,58.11147437438208,"[{""adm2_code"":30353,""adm2_name"":""Dakota""}]",2003-07-01,2023-09-25
2a5754db65ed05ec4a0df58447329634,2002-0017-USA,24.0,,,,,,,,,,,59.03314407861422,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2003-07-01,2023-09-25
fca0df58f1a9538ae9e4e9a8d6d3113a,2002-0092-USA,,11.0,,123.0,134.0,,,,,6600.0,11180.0,59.03314407861422,"[{""adm2_code"":28901,""adm2_name"":""San Diego""}]",2005-05-03,2023-09-25
