ImpactID,DisNo,Classification_Key,LocationID,ISO,Start_Year,Total_Damage(USD),Total_Damage_Adj(USD)
987591094f8e76b20d562c7c9863b343,2002-0793-USA,nat-met-sto-sto,6209a6b37c8555cee3b95abc76fda40d,USA,2002,,
6ea78b84e68d5db245c69837118d8228,2002-0802-USA,nat-met-sto-bli,cca51308936a85799f3662aa0b3df1e6,USA,2002,,
a0030c42a6dcaeaed6f637d6f2c1254f,2002-0880-USA,nat-met-sto-sto,4edc8c1c3765b309c0bc596793490b86,USA,2002,,
c99c84f7ab42d91883d34b0648380718,2003-0085-USA,nat-met-sto-bli,913ecac7739d105ea477266738019bcc,USA,2003,200000.0,331273.0
0a10c3152fd7133547659a255fd36825,2003-0087-CAN,nat-hyd-flo-riv,dd6eb6f589c09740f176fd31d43bbe65,CAN,2003,,
141d9a9af260d0e79eb0520ba8aa651f,2003-0139-USA,nat-met-sto-tor,e5202bd333d156b43dcfda233cf55643,USA,2003,5000000.0,8281813.0
3caa8683f3aae2c649ff78ffba232c33,2003-0147-USA,nat-met-sto-bli,3df02e797d098d28b9a64b4ebcabf874,USA,2003,25000.0,41409.0
bdeba8df0028a59609c6ef39f289bf3e,2003-0210-USA,nat-met-sto-tor,9950fbc75f6c33e5e7c87999a25348b5,USA,2003,4000000.0,6625451.0
df3d8cc6ed041545a8814e5eb8d8c2fa,2003-0231-CAN,nat-hyd-flo-riv,f7d35800ee354a760abedd625d31d8b4,CAN,2003,10000.0,16564.0
ba3c1396a3471c675ee2af133ce2c74a,2003-0299-USA,nat-cli-wil-for,a75e6565fbeb802376f9ec8cd5b1265d,USA,2003,,
533c16c8e8ed5623b7ae9796aa9116b2,2003-0334-USA,nat-hyd-flo-riv,ed3d6e57c5d489aa7d7d78d48b23f138,USA,2003,106000.0,175574.0
4fe2b7040aa428f40a556c080e0eb3ef,2003-0369-CAN,nat-cli-wil-for,65b1ab665faaaf370991ab93922c2cf9,CAN,2003,545000.0,902718.0
b2273788f3e89a0963d4da38b2b97b60,2003-0413-USA,nat-met-sto-tor,8726194ca81c69725244df2032f65c60,USA,2003,,
9c22ee5fa4a62d7a273aed0738bd80da,2003-0417-CAN,nat-hyd-flo-fla,48c3b98fe6b6c537b01a88bea9bccbc3,CAN,2003,10000.0,16564.0
aa5cfe43423d2d02d84db4d4e2bf8929,2003-0448-BMU,nat-met-sto-tro,fc21653bd5a35cf6590c6f0d4d9e9220,BMU,2003,300000.0,496909.0
7bf4903f62391239f486f3b57c5f4c47,2003-0468-CAN,nat-met-sto-tro,7ec368c7a3b9988000c181908afdf58f,CAN,2003,,
57aa7fdca9d0639ee38c4f756a99c1c1,2003-0468-USA,nat-met-sto-tro,bdce2d89310579aa2fd2a064087b6923,USA,2003,3370000.0,5581942.0
61e561e71a36bf45f43c5bfe40b9b9f5,2003-0487-CAN,nat-met-sto-tro,f11351deb725f2fc25ad395b90057599,CAN,2003,110000.0,182200.0
00733c044008147bae3d7cf50330a416,2003-0511-CAN,nat-hyd-flo-riv,8b3a09e01b5e4bfc5ec612057c0b2215,CAN,2003,15000.0,24845.0
41d6a6a0049ca68a156a808f666b1e68,2003-0511-USA,nat-hyd-flo-riv,e3b095bef99a9e7f2b3d1dcd607e40c1,USA,2003,,
458c005c6b1ed49e2de74ea9755c5028,2003-0518-USA,nat-cli-wil-for,449092b59518297a89c999e58509870e,USA,2003,,
b8e8e837477d429b13040acb8ef372eb,2003-0595-USA,nat-met-sto-sto,721193611305941fb5a3272b1cc74421,USA,2003,,
f76abf3c02043c890d3c823c10674780,2003-0618-USA,nat-met-sto-bli,a22efbe6071b05039493a868f1ac8dd8,USA,2003,,
53d0890532e662c689f78242e2bb7e14,2003-0623-USA,nat-geo-ear-gro,5e864023332900b9f57b0afdebd0a00f,USA,2003,200000.0,331273.0
15e2dfc57f57a4206f95e1c003cf91d3,2003-0633-USA,nat-hyd-mmw-mud,97e5432c4351084379960871b1964204,USA,2003,,
fb069eb74e40db79e3379523a0adb699,2003-0663-USA,nat-hyd-flo-fla,6e2f022a3648c38d6702f718d57e481d,USA,2003,,
bd62bf7099a7ea1e69dc25d4f5f93354,2003-0741-USA,nat-met-sto-sto,27ff55bf52a6899926bd87ee3d976a9b,USA,2003,400000.0,662545.0
6473e700110abe2e2f83c2949fbf20c1,2003-0756-USA,nat-hyd-flo-riv,793b06c570e0e254b32816f24d8de79b,USA,2003,17000.0,28158.0
7988a7098c93878ed679298f17be0d9d,2003-0780-USA,nat-met-sto-tor,2638a04b05cccb27aa76b3ee42e5f159,USA,2003,,
a87a33eba417f9280dc89439e260a53b,2003-0782-USA,nat-met-sto-tro,7e6fe71bd59f1308a1badf54344dc8a5,USA,2003,50000.0,82818.0
972a9b86df0bcbda6390f1698aca0950,2003-0786-USA,nat-cli-wil-for,97e5432c4351084379960871b1964204,USA,2003,3500000.0,5797269.0
6002cd78e4ac894084a8137f1e36c1f3,2003-0827-USA,nat-met-sto-sto,7988ee991c9ec08eccabb8a3ce2aeda7,USA,2003,,
2422180166a24b685c0ca686d95f6f12,2003-0829-USA,nat-met-sto-sto,8f779ed2a1c70bb9d7bb7fa47b35690e,USA,2003,2100000.0,3478362.0
246a7072626a000cb96bed1dabef3aea,2003-0830-USA,nat-met-sto-bli,1594d352cebd401ae0768e616ebfe4fd,USA,2003,,
cbca3133bb9d905b12f16d9e3bbd03bd,2004-0031-USA,nat-met-sto-bli,0d62ce31ee5369c2eef31086a3cc090f,USA,2004,60000.0,96790.0
d7de18a76b911bb69f08d52607dfb075,2004-0074-CAN,nat-met-sto-bli,2a8d19d41e18062d6fa6c1fbddc0b726,CAN,2004,,
