DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2014-0009-CAN,6ac46e5ebdbabfcdb9e116c7e790b70c,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,No,No,No,,,-48.0,°C,2014-01-01,2014-01-09,8
2014-0009-USA,1ff4bec4d8e662b52b6336a4dd892c9e,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,No,No,Yes,,,-37.0,°C,2014-01-05,2014-01-08,3
2014-0048-USA,b49bea4d135475df6270ebeb37455580,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Cold wave,,Kph,2014-02-02,2014-02-06,4
2014-0052-USA,dc45cd128b2a16f576286ffe7c92c9bb,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2014-01-01,2014-01-05,4
2014-0053-USA,4f14cdfbe90b8f1c37e6086bd1e6dc9f,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,,,Kph,2014-01-26,2014-01-29,3
2014-0072-USA,c21540149c8de93a02a26fe19588b313,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Cold wave,,Kph,2014-02-11,2014-02-14,3
2014-0095-USA,27bf83a32478721a94b1c300b077183e,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,No,No,No,Heavy rains and small earthquake,,,,2014-03-22,2014-03-22,0
2014-0100-USA,6f33fba30cc0fb5afdc5cc8af8ef4a69,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2014-02-28,2014-03-04,4
2014-0126-USA,1924274af92777d57ec71f19cb83a551,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood|Hail,,Kph,2014-04-27,2014-05-01,4
2014-0165-USA,433d35dbd6f7401e04280d5ceed1b640,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,No,"Excessive heat, drougth and winds",,,Km2,2014-05-11,2014-05-20,9
2014-0192-USA,60a033e91b34ab6387ccc57748b99537,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Hail,110.0,Kph,2014-05-18,2014-05-23,5
2014-0263-USA,f8b81c4a26389c29518deecc316a69f9,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,60.0,Kph,2014-07-26,2014-07-27,1
2014-0310-USA,b2ce4840f065088992f1db623e92aed0,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Iselle,No,No,No,,,95.0,Kph,2014-08-08,2014-08-10,2
2014-0317-USA,4c76000edf627d0561b10f93dc539662,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,No,Excessive rainfall,,,Km2,2014-08-11,2014-08-13,2
2014-0318-USA,4138b201f852c97feaa20ebc35074e8e,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,No,No,No,,Fire,6.02,Moment Magnitude,2014-08-24,2014-08-24,0
2014-0319-CAN,0216e613baaee59db391273a4fff4a2c,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,,Lightening,,Km2,2014-08-04,2014-08-04,0
2014-0444-USA,f9e89f76d74b67eefbdba5771e08d77e,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,Yes,,Hail|Lightening,160.0,Kph,2014-10-12,2014-10-14,2
2014-0459-USA,c94c8f3b622748555653e5b38660286b,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,,,Kph,2014-11-15,2014-11-19,4
2014-0482-USA,af2ffc432c6ccc2e37e6646a6a8ba31a,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,"Flood|Slide (land, mud, snow, rock)",230.0,Kph,2014-12-10,2014-12-17,7
2014-0491-USA,74c41534b171fb1d7ff2f636fafaa25a,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,"Heavy rains, strong storm system","Slide (land, mud, snow, rock)",,Km2,2014-12-02,2014-12-05,3
2014-0540-USA,f8fc3d57f44f5f21688f27e60a91ff2e,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Hail,128.0,Kph,2014-06-03,2014-06-06,3
2015-0025-USA,e1dc7bb757936d86470b2c86405224a4,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2015-01-06,2015-01-11,5
2015-0026-USA,14b6fe550d378d81746ce1a26fa8f061,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Snow/ice,104.0,Kph,2015-01-26,2015-01-28,2
2015-0046-USA,98a2413628738f1aaa1359539a568b9a,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,Storm Octavia,No,No,Yes,,Cold wave,,Kph,2015-02-16,2015-02-22,6
2015-0072-USA,83ecc35e8b392c5ec4b0b38d832ff7a1,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Cold wave,,Kph,2015-01-31,2015-02-04,4
2015-0073-USA,42ee844e55520cd7a69fa4cbe73f8546,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2015-02-16,2015-02-22,6
2015-0122-USA,82fb25127b0cc69b0c943597ac190596,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2015-03-03,2015-03-05,2
2015-0123-USA,d8465188b55bd580d537ba772fd3ef82,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Hail,110.0,Kph,2015-03-25,2015-03-26,1
2015-0138-USA,c1cdc7cdac590cdc7b65629b79a7b04d,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Hail,,Kph,2015-04-07,2015-04-10,3
2015-0155-USA,475a11bd3d3a0d2992559fbb37083de9,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Hail,,Kph,2015-04-24,2015-04-28,4
2015-0177-USA,6e545f75199ed7f3e1b77fcd5d9c248d,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2015-05-06,2015-05-13,7
2015-0180-USA,9f11493b179ca834736b913e1eb94363,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Hail,,Kph,2015-05-03,2015-05-05,2
2015-0186-USA,4efc61fbca5179613750fa8caf57994d,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Torrential rains,,,Km2,2015-05-24,2015-05-24,0
2015-0211-USA,57b620e28553772285cdc485504288cf,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,130.0,Kph,2015-05-06,2015-05-13,7
2015-0212-USA,2fffe87a4260ee3c850942e107dae5bf,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Heavy rain,Lightening,849464.6,Km2,2015-05-23,2015-05-30,7
2015-0245-USA,b28b5316ece25d11a6ad0c1ff5f4b23b,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,,Kph,2015-06-03,2015-06-08,5
2015-0275-CAN,0b6d47a84baddb61dc32dc9525d8029f,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,No,"Hot, dry and windy conditions",,,Km2,2015-07-01,2015-07-10,9
2015-0312-USA,8dda9a46d2d17e271ae9c9388f088c78,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,No,No,Yes,"Drought conditions, gusty winds, warm temperatures, lightening",,,Km2,2015-07-22,2015-08-13,22
2015-0326-USA,61e06c34f55aae4d3475f5c5f2985e21,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood|Lightening,,Kph,2015-07-12,2015-07-14,2
2015-0399-USA,d8de001bcaade4e0cbf51401db0c2812,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,,,,Km2,2015-07-24,2015-08-05,12
2015-0400-USA,e740ae8ab0030e865a2ce76ce71b894b,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,95.0,Kph,2015-08-02,2015-08-04,2
