ImpactID,LocationID,Classification_Key,DisNo,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
23c7c2ac15e4e07c64367004d7dbe70f,8bc9b499e6128173a447605c8037499e,nat-met-sto-tor,2020-0082-USA,USA,25.0,300.0,12000.0,0.0,12300.0
2583f68364cf3fa27a011aad873609b2,380c6ccc852d1b72290749585ec5101b,nat-met-sto-tor,2020-0148-USA,USA,38.0,200.0,0.0,0.0,200.0
1f64ac3df0e724fa501681d19f536bff,a9da1122fdf226fac48237a66f976380,nat-met-sto-tor,2020-0167-USA,USA,3.0,31.0,0.0,0.0,31.0
671e7abe7fddde842f3802201dcfaf29,fc4607c7ec2dfe0ee39b55a51ca4bcad,nat-hyd-flo-riv,2020-0191-CAN,CAN,1.0,0.0,12936.0,0.0,12936.0
9decca4c4bafab802f4142e8a76a1996,3a680942a35c51b66157e0d702a9e401,nat-hyd-flo-flo,2020-0212-USA,USA,1.0,0.0,10000.0,0.0,10000.0
fd21bfa2a44c07e7565077b20220b116,4959b3c384e1cafec5c2f91f93f3638c,nat-met-sto-tro,2020-0376-USA,USA,33.0,0.0,6500.0,0.0,6500.0
9803a6611462ef6169f8c7446c1114ea,efd0ff6b5dc7509e98d981416ca9fb7e,nat-met-sto-tro,2020-0412-USA,USA,4.0,0.0,9400.0,0.0,9400.0
dda0821ff1e03c0be976439f5bfe1100,1e609507f58d82f7ca0e9c694c420f5e,nat-met-sto-tor,2021-0037-USA,USA,1.0,30.0,0.0,0.0,30.0
f8155b47eb7178b273dafe3d90714339,1b4715ea815665dc219ab9bbf1060f24,nat-met-sto-sev,2021-0043-USA,USA,2.0,0.0,75.0,0.0,75.0
9218a031471a34c7a135706c65be29d2,e78afd8cccd0f047902f82f126b7d8e5,nat-met-sto-bli,2021-0096-USA,USA,235.0,10.0,0.0,0.0,10.0
09a907061444f92b0d96060608848f95,43bf7d5e293d0591bb901c673011f29f,nat-hyd-flo-riv,2021-0117-USA,USA,1.0,1.0,50.0,0.0,51.0
e695372fdfb0d08327b58036a500f462,5465799a45faa0aea1283edf76cc2246,nat-met-sto-sev,2021-0199-USA,USA,3.0,7.0,0.0,0.0,7.0
9106a6ef3e25bc1e306ce41ab7a40386,c0dbffeb4d92a84afdc17178de9ba8a6,nat-met-sto-tor,2021-0266-USA,USA,4.0,8.0,0.0,0.0,8.0
37ed4b523f598ea87706783386c53fbe,f06706507847459983782bd9ab742cb4,nat-met-sto-sev,2021-0273-USA,USA,6.0,0.0,250.0,0.0,250.0
be61fd599178a80c961c96584551e20c,255d078d789c676d3c86fc7af3563b21,nat-met-sto-sto,2021-0305-USA,USA,14.0,20.0,324.0,0.0,344.0
9fa35247b33f9234ac60d170dc0c7414,cc2d180bfa9e7aa647297d5a80b33375,nat-met-sto-tor,2021-0356-CAN,CAN,1.0,2.0,300.0,0.0,302.0
3295b44b4fc7c22e8985a8bedbbc9538,a2ac5d265b0762950cf5b760773ecd24,nat-cli-wil-wil,2021-0367-CAN,CAN,2.0,0.0,250.0,0.0,250.0
6e717dce9167f6f2e112576a3d181a10,78b089126b76f618de33688f7fc4faa6,nat-met-sto-tro,2021-0373-USA,USA,1.0,9.0,0.0,0.0,9.0
947abd4b879b3a4a3d928d759e08bda5,8308e09d2585ff9d3112d7e3645fa099,nat-cli-wil-for,2021-0433-USA,USA,3.0,13.0,36.0,1212.0,1261.0
5644901bcac7f3aa8f101583ee5cbb1c,7683da3328b66bd5979aab006e8b7858,nat-met-sto-tro,2021-0532-USA,USA,7.0,0.0,105.0,0.0,105.0
febe12391eed9a0a09d2050e05f51fdc,ff930823305328e11f12bcc837666143,nat-hyd-flo-fla,2021-0533-USA,USA,22.0,0.0,89.0,0.0,89.0
ce05a7b199770f07d5370318ea7ef928,27ba48648007a3c94ce623e7fe142dde,nat-met-sto-tro,2021-0551-USA,USA,96.0,0.0,14000.0,0.0,14000.0
4a1a149fb12f11b3c90e61f2a5b03e97,65d4fabd79ea7f4c8610b3145944ca0d,nat-hyd-flo-fla,2021-0562-USA,USA,1.0,0.0,600.0,0.0,600.0
04ae3aef7796dc8f8f378ec150995038,237c6cc7cdcc7258b05079a3d3f373ab,nat-hyd-flo-flo,2021-0741-CAN,CAN,4.0,0.0,15000.0,0.0,15000.0
a942c4bbcb24adf64829b8de3037a088,f34c8a0ab158f8a8889a4789682fdba2,nat-hyd-flo-flo,2021-0741-USA,USA,1.0,0.0,500.0,0.0,500.0
b67e6816dc3b2e2a1a7c463224165e1a,23018ae28ebbacdfe464dc38e5c904be,nat-met-sto-tor,2021-0797-USA,USA,93.0,100.0,0.0,0.0,100.0
ecbb44ae916d7d30f5a61925fc91b5db,1c764e02feb81a838d8e6a875911fc9f,nat-met-sto-sev,2021-0815-USA,USA,5.0,0.0,120.0,0.0,120.0
7031701304d6fb7f78ec7a177859d99f,6407d6bbfce354ec5f46f57ebdfc9e13,nat-cli-wil-wil,2021-0832-USA,USA,2.0,0.0,3273.0,381.0,3654.0
84bed47d4718f552bc05e953e3f3ba80,0bba78cdc7841380d2e1d6581dad34cb,nat-met-sto-tor,2022-0126-USA,USA,8.0,0.0,90.0,0.0,90.0
d9ab533c20424c369896afa378bd2b08,aba05562e8ea4be61e66d56a61821cab,nat-met-sto-tor,2022-0157-USA,USA,5.0,50.0,0.0,0.0,50.0
8e18e96e20962d7ecad076aa62fe07c8,b90bacf8d45f84e7e3b103e0f18f6119,nat-met-sto-sev,2022-0185-USA,USA,2.0,0.0,90.0,0.0,90.0
4235272786fe1c3b724f3909817b2178,fc8f51be6fbfe63d065063b5963f60fb,nat-met-sto-tor,2022-0212-USA,USA,1.0,28.0,15.0,0.0,43.0
0794a4782d047e255c666bb9f7e925a8,1be133b5ab477b790c4cf94da8f883a3,nat-met-sto-tor,2022-0261-USA,USA,3.0,6.0,300.0,0.0,306.0
844863f6eac74b0f3074b2dae3276bfc,8584eb68298f1b4a7b6c36fcce133a05,nat-met-sto-der,2022-0325-USA,USA,2.0,12.0,0.0,0.0,12.0
f590c69b4f726e744cbd6d88c8f881ee,2ba0643a08b2e906f0b9f1cb0e39be2c,nat-hyd-flo-flo,2022-0480-USA,USA,42.0,0.0,475.0,0.0,475.0
