ImpactID,DisNo,Classification_Key,Location,ISO,Start_Year,Total_Damage_USD,Total_Damage_Adj_USD
f76abf3c02043c890d3c823c10674780,2003-0618-USA,nat-met-sto-bli,"Pennsylvania, Connecticut, New York, New Jersey, Vermont, Virginia, Massachusetts, Rhode Island provinces",USA,2003,,
53d0890532e662c689f78242e2bb7e14,2003-0623-USA,nat-geo-ear-gro,"Paso Robles, Templeton, Atascadero, Cambria, Morro Bay, Oceano villages (San Luis Obispo district, California province)",USA,2003,200000.0,331273.0
15e2dfc57f57a4206f95e1c003cf91d3,2003-0633-USA,nat-hyd-mmw-mud,San Bernardino district (California province),USA,2003,,
fb069eb74e40db79e3379523a0adb699,2003-0663-USA,nat-hyd-flo-fla,Los Angeles district (California province),USA,2003,,
bd62bf7099a7ea1e69dc25d4f5f93354,2003-0741-USA,nat-met-sto-sto,"Morgan, Leslie, Breathitt, Menifee districts (Kentucky province), Wayne, Cabell, Kanawha, Lincoln, Mingo districts (West Virginia province), Dickenson, Tazewell, Wise, Buchanan districts (Virginia province), Alabama, Connecticut, Delaware, Florida, Georgia, Massachusetts, Maryland, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, South Carolina, Tennessee, Vermont provinces",USA,2003,400000.0,662545.0
6473e700110abe2e2f83c2949fbf20c1,2003-0756-USA,nat-hyd-flo-riv,"Tennessee, Alabama, Georgia provinces",USA,2003,17000.0,28158.0
7988a7098c93878ed679298f17be0d9d,2003-0780-USA,nat-met-sto-tor,"Mason, Tazewell, Logan, Will, De Witt districts (Illinois province)",USA,2003,,
a87a33eba417f9280dc89439e260a53b,2003-0782-USA,nat-met-sto-tro,"Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)",USA,2003,50000.0,82818.0
972a9b86df0bcbda6390f1698aca0950,2003-0786-USA,nat-cli-wil-for,San Bernardino district (California province),USA,2003,3500000.0,5797269.0
6002cd78e4ac894084a8137f1e36c1f3,2003-0827-USA,nat-met-sto-sto,"Beaumont, Port Arthur areas (Jefferson district, Texas province), Sugar Land area (Fort Bend district, Texas province), Smith district (Mississipi province), Dallas, Harris districts (Texas province), Los Angeles district (California province), Alabama, Arkansas, Florida, Georgia, Louisiana, Maryland, Missouri, North Carolina, Oklahoma, South Carolina, Tennesse, Virginia, West Virginia provinces",USA,2003,,
2422180166a24b685c0ca686d95f6f12,2003-0829-USA,nat-met-sto-sto,"Alabama, Illinois, Indiana, Louisiana, Michigan, Missouri, Mississippi, New York, Tennessee,Texas, Pennsylvania, Nebraska, Wisconsin provinces",USA,2003,2100000.0,3478362.0
246a7072626a000cb96bed1dabef3aea,2003-0830-USA,nat-met-sto-bli,"Arkansas, Texas provinces",USA,2003,,
cbca3133bb9d905b12f16d9e3bbd03bd,2004-0031-USA,nat-met-sto-bli,"North Carolina, South Carolina, Iowa, Missouri, Ohio, Maryland, Nebraska, New York, Virginia, Minnesota, Indiana, Illinois, Pennsylvania, Oklahoma, Georgia, Kansas, New Jersey, West Virginia, Maine provinces",USA,2004,60000.0,96790.0
d7de18a76b911bb69f08d52607dfb075,2004-0074-CAN,nat-met-sto-bli,"Nova Scotia, New Brunswick, Prince Edward Island provinces",CAN,2004,,
c7a249e72c01bcb58190a1d74dfa9323,2004-0121-USA,nat-met-sto-tor,"Arkansas, Louisiana, North Carolina, Oklahoma, South Carolina, Texas, Virginia, Kansas, Missouri, Mississippi provinces",USA,2004,300000.0,483952.0
bad8357958ef95a3e92c4736fa46a5e1,2004-0146-CAN,nat-hyd-flo-riv,"Winnipeg (Division No. 11 district, Manitoba province) Selkirk, St Clements, Breezy Point (Division No.13 district, Manitoba province)",CAN,2004,,
53d136a92dc7930fcf07c0122bbe5bd8,2004-0146-USA,nat-hyd-flo-riv,"Antigo area (Langlade district, Wisconsin province), Pembina, Walsh districts (North Dakota province)",USA,2004,4500.0,7259.0
fb4ab09c191d836029ba14e1a974a996,2004-0196-USA,nat-cli-wil-for,"Los Angeles, Riverside, San Diego, Santa Barbara districts (California province)",USA,2004,,
53e8f9a69406fc49018e057189c2c0ac,2004-0245-USA,nat-met-sto-hai,"Morgan, Sangamon, Scott districts (Illinois province), Clark, Floyd, Washington districts (Indiana province), Adair, Appanoose, Benton, Clay, Dallas, Grundy, Humboldt, Jones, Linn, Marshall, Pocahontas, Story, Warren districts (Iowa province), Jackson, Linn, Shawnee, Republic districts (Kansas province), Estill, Fayette, Henderson, Henry, Magoffin, Martin, Powell, Pulaski districts (Kentucky province), Washington district (Maryland province), Sanilac, St. Clair, Tuscola districts (Michigan province), Gentry, Holt, Linn, Livingston, Macon, St. Clair districts (Missouri province), Adams, Cass, Clay, Custer, Franklin, Fillmore, Furnas, Gage, Harlan, Jefferson, Lancaster, Nuckolls, Otoe, Saline, Thayer, Webster, York districts (Nebraska province), Broome, Delaware districts (New York province), Athens, Brown, Fayette, Perry, Ross districts (Ohio province), Caddo, Noble, Osage, Pawnee, Tillman districts (Oklahoma province), Crawford district (Pennsylvania province), Hawkins district (Tennessee province), Nolan, Taylor, Val Verde districts (Texas province), Lancaster, Lee, Loudoun, Scott districts (Virginia province), Berkeley district (West Virginia province), Manitowoc, Dane, Columbia districts (Wisconsin province), North Carolina, South Carolina provinces",USA,2004,1100000.0,1774492.0
2128d6d8b596c59cb279e4146a045504,2004-0248-USA,nat-hyd-flo-riv,"Wayne, Oakland, Macomb, Livingston districts (Michigan province)",USA,2004,,
