DisNo,ImpactID,LocationID,Classification_Key,Event_Name,ISO,Total_Deaths,Total_Affected,Start_Date,Total_Damage_USD,Total_Damage_Adj_USD,duration
2017-0383-USA,6ce1e2a38bb8c4dfe24fd685bf3d053d,c2dd5a67493d2dc9d9458aac1d3b0e49,nat-met-sto-tro, Maria,USA,4.0,,2017-09-26,,,1
2017-0410-USA,f73e84c33b301a291251a22e0056bcd8,3cba667744c3d75d63173c9ed327d789,nat-met-sto-tro,Nate,USA,,60.0,2017-10-07,250000.0,310768.0,1
2018-0170-USA,a0a80ecb5a98596b61feb06cca6cf98a,00704c1405bf5862b13adb51e97b10d0,nat-met-sto-tro,Tropical storm Alberto,USA,5.0,,2018-05-27,125000.0,151679.0,3
2018-0342-USA,075b6e189397b5f655cb04b245e51665,ddb35636ae30e84712c389ca83e70cdd,nat-met-sto-tro, Florence,USA,53.0,1500000.0,2018-09-12,14000000.0,16988092.0,6
2018-0373-USA,cba97325a0312677b92c0d5f7786b48b,d7798f56f012c08b6f5323872f60f654,nat-met-sto-tro, Michael,USA,49.0,5000.0,2018-10-10,16000000.0,19414962.0,1
2019-0335-USA,c796c9ebddec2b11ed1fa3631135e1ef,9b5214ee2846fb2f4cf591f4ad342510,nat-met-sto-tro,Barry,USA,1.0,,2019-07-13,600000.0,715102.0,2
2019-0412-USA,f39a6ab397aa28ba0fb4387910e45dfd,9106e36715c164fb6377cdd9ad3dcca5,nat-met-sto-tro,Dorian,USA,10.0,,2019-08-28,1600000.0,1906937.0,9
2019-0417-USA,458be1709fd9e9a88fb12f9ee3f5c607,cf00f0fadea38a20eb620ec10f753a23,nat-met-sto-tro,Tropical storm  Imelda,USA,5.0,1000.0,2019-09-17,3500000.0,4171426.0,4
2020-0219-USA,ebd727c32920f6c4d1c1c0218acca2a0,400ef2cb7bd2de8a9004b82a3acfef3a,nat-met-sto-tro,Tropical storm Cristobal,USA,1.0,,2020-06-07,325000.0,382627.0,0
2020-0312-USA,dfafec29982cb24f85fa866566fc421f,350e3ddc48507add5a434f7cc98dc943,nat-met-sto-tro, Isaias,USA,16.0,,2020-07-31,4800000.0,5651101.0,2
2020-0316-USA,9c0a453ff3e1a8f72046c3d33985c8fc,cf00f0fadea38a20eb620ec10f753a23,nat-met-sto-tro, Hanna,USA,,,2020-07-25,1100000.0,1295044.0,0
2020-0376-USA,fd21bfa2a44c07e7565077b20220b116,4959b3c384e1cafec5c2f91f93f3638c,nat-met-sto-tro, Laura,USA,33.0,6500.0,2020-08-27,13000000.0,15305066.0,1
2020-0412-USA,9803a6611462ef6169f8c7446c1114ea,efd0ff6b5dc7509e98d981416ca9fb7e,nat-met-sto-tro, Delta,USA,4.0,9400.0,2020-10-07,2900000.0,3414207.0,4
2020-0438-USA,c324f2ea5620e0463d8df88bb8f0c934,9f21abaf9f936d19cb9968ba68f86890,nat-met-sto-tro, Sally,USA,8.0,,2020-09-11,6300000.0,7417070.0,7
2020-0474-USA,aef585fb9e23c2a2e82659d65ce111e6,4332a41a01b7aaa7d9b624c520d90d8d,nat-met-sto-tro, Eta,USA,12.0,,2020-11-08,1500000.0,1765969.0,4
2020-0483-USA,57983e24d1994d6d7d339220266ad37c,b1b09c1938155a0a42382721266103ec,nat-met-sto-tro, Zeta,USA,6.0,,2020-10-24,3500000.0,4120595.0,6
2021-0373-USA,6e717dce9167f6f2e112576a3d181a10,78b089126b76f618de33688f7fc4faa6,nat-met-sto-tro, Elsa,USA,1.0,9.0,2021-07-02,1200000.0,1349384.0,7
2021-0531-USA,d29aa1fbcdeef76780885a4df1b09f8a,e55ad2b82ae0acca4352953beb1a8643,nat-met-sto-tro,Henri,USA,,86.0,2021-08-20,550000.0,618467.0,5
2021-0532-USA,5644901bcac7f3aa8f101583ee5cbb1c,7683da3328b66bd5979aab006e8b7858,nat-met-sto-tro,Tropical storm Fred,USA,7.0,105.0,2021-08-17,1300000.0,1461832.0,5
2021-0551-USA,ce05a7b199770f07d5370318ea7ef928,27ba48648007a3c94ce623e7fe142dde,nat-met-sto-tro,Tropical storm Ida,USA,96.0,14000.0,2021-08-28,65000000.0,73091612.0,5
2021-0583-USA,238e7c2f35daa052cc23fc59c5650279,bf62a4f21d9fc911d859d5b89d5be8c7,nat-met-sto-tro,Tropical storm Nicholas,USA,,,2021-09-12,1000000.0,1124486.0,5
2022-0603-CAN,fa6f4c052ed71f888fb0765e824842e2,7395001eb221df27fe1f105064dd13ad,nat-met-sto-tro, Fiona,CAN,1.0,4000.0,2022-09-24,,,1
2022-0614-USA,b922576e6fe72b3de0a7935f65628cce,04c4f05fc47ed6d51982f744a8af9ef6,nat-met-sto-tro, Ian,USA,152.0,,2022-09-28,100000000.0,104116407.0,4
2022-0734-USA,00fc984be9fe09eeface3c7cbcbdc6b1,1df69b942b3e4b89a43b58924a2ae138,nat-met-sto-tro, Nicole,USA,5.0,1500.0,2022-11-10,1000000.0,1041164.0,1
2023-0565-USA,a5c0cbb3b6927c1eb1a791df136d582c,1da15d3f6ed04802763d554c1f9781c4,nat-met-sto-tro, Idalia,USA,5.0,,2023-08-28,3500000.0,3500000.0,1
2024-0422-CAN,d25f2ea5a3fe84d23d76a67a3f5dd640,05e3826914002e24919a2711c098e311,nat-met-sto-tro, Beryl,CAN,1.0,,2024-07-12,,,0
2024-0422-USA,fc759201f69f5fdda292f31c9f82479c,bf62a4f21d9fc911d859d5b89d5be8c7,nat-met-sto-tro, Beryl,USA,45.0,207.0,2024-07-08,6000000.0,,1
2024-0573-CAN,c8fd0cd342ae327d7f1c4c409997b002,d07757c2a27aff1bb1f06b9afb65c33f,nat-met-sto-tro,Debby,CAN,1.0,,2024-08-08,2950000.0,,2
2024-0573-USA,297e6ef57e21258c14063684d1ff8b4d,62bfee5b30189af15c1c47b9f893f2f2,nat-met-sto-tro,Debby,USA,6.0,,2024-08-05,2250000.0,,1
2024-0693-USA,80234918f59f6380f3f88aa0eaa736e5,906462b420bbd8a18bc41c17500dafc4,nat-met-sto-tro,Helene,USA,227.0,,2024-09-25,56000000.0,,3
2024-0722-USA,e93fa5d59a214bbde2de70b1e82901df,ab8d0da25b8b64a6cc5c9c20c233bec4,nat-met-sto-tro, Milton,USA,27.0,1013.0,2024-10-09,38000000.0,,1
